Time(s),Alpha,Beta,CI,AI_State
0.10,2.2527453693443005e-06,3.517471817251547e-06,0.6404444687504367,Calm
0.64,3.1329942306371542e-06,4.5985299991039676e-06,0.6813034233217189,Calm
1.19,4.199390838412649e-06,4.985260224885129e-06,0.8423614112359424,Calm
1.74,2.1093079737100443e-06,4.021385838017252e-06,0.5245226542972162,Calm
2.28,2.9316103975971793e-06,3.857987114014922e-06,0.7598808163323069,Calm
2.83,3.2571880237528672e-06,3.3351918566042288e-06,0.9766118903484065,Calm
3.38,3.4015422080819904e-06,3.079851573520397e-06,1.1044500447123455,Calm
3.92,3.3685219310594897e-06,3.072632933047523e-06,1.0962981926117987,Calm
4.47,1.5217142300007595e-06,4.183375359955202e-06,0.36375273530727464,Calm
5.02,1.4889621924532547e-06,3.3621477270523237e-06,0.4428604312870761,Calm
5.56,2.1258194757615534e-06,3.1400404326444914e-06,0.6770038543647741,Calm
6.11,2.434365199631017e-06,3.975768811638565e-06,0.6123004920469012,Calm
6.66,2.6641087227974922e-06,3.072666054825588e-06,0.867034905603731,Calm
7.21,2.0419386328875917e-06,1.976650222657964e-06,1.033029824640313,Calm
7.75,2.5700859377192643e-06,2.604299596572372e-06,0.9868626255987838,Calm
8.29,3.0567684155301338e-06,4.1295885007437445e-06,0.7402113830420648,Calm
8.84,4.580939963980792e-06,5.201743665017998e-06,0.8806546917695803,Calm
9.38,3.7084680826609616e-06,4.186426567762217e-06,0.8858313940624689,Calm
9.93,2.724308768043653e-06,3.589455135981772e-06,0.7589755728479142,Calm
10.48,6.957121772651619e-06,5.383883119566244e-06,1.2922126313195528,Calm
11.03,9.313954625111833e-06,5.968054923534978e-06,1.5606348708994493,Calm
11.57,1.1576497207705672e-05,8.319467748006595e-06,1.3914949319299286,Calm
12.12,6.322916264868176e-06,5.800742815556163e-06,1.0900183762520332,Calm
12.66,5.278040576176481e-06,4.67617663398652e-06,1.1287085560061194,Calm
13.21,9.032939058191402e-06,3.832236814086515e-06,2.3570931276971647,Calm
13.76,6.180412426011428e-06,2.9607381735670964e-06,2.0874565948414374,Calm
14.30,3.29548991592228e-06,3.54429423778174e-06,0.9298014484217375,Calm
14.84,3.5161114089846525e-06,2.8170995550018583e-06,1.2481317540736798,Calm
15.39,3.05783723405544e-06,2.828368417798778e-06,1.0811311619846362,Calm
15.95,3.067174270443618e-06,3.7796272762157597e-06,0.8115017821319502,Calm
16.49,4.012223267453286e-06,3.943314915257554e-06,1.0174747271462168,Calm
17.04,7.05444744690414e-06,3.4041021163946833e-06,2.072337199559563,Calm
17.59,1.2621928658715068e-05,5.9302121139679755e-06,2.1284109937628495,Calm
18.13,2.182824578684126e-05,4.55187918971249e-06,4.79543609948488,Calm
18.69,2.127510896243017e-05,3.035331059114865e-06,7.009156018926719,Calm
19.24,1.1967875112885845e-05,3.1053897488040062e-06,3.8539043665920167,Calm
19.77,1.643893054968568e-05,4.920445510744112e-06,3.3409435210267464,Calm
20.33,7.525006371571859e-06,4.4929765510939395e-06,1.6748376685250423,Calm
20.88,5.271963702946064e-06,2.918243983297385e-06,1.8065534386844384,Calm
21.42,5.786893547728789e-06,2.0081059922477733e-06,2.881766983450525,Calm
21.98,4.473680380422955e-06,3.0079762926159846e-06,1.487272486623315,Calm
22.52,3.383618740923199e-06,4.472713879709709e-06,0.7565023902541257,Calm
23.08,5.036655904301275e-06,4.6294274469409815e-06,1.0879651883580939,Calm
23.63,5.9914625952073665e-06,5.057882896549415e-06,1.18457914462489,Calm
24.19,8.469106572540816e-06,5.975443651971949e-06,1.4173184563033971,Calm
24.72,1.3368803810457978e-05,7.4979032020481295e-06,1.7830056550751618,Calm
25.27,8.31285528547216e-06,5.556259518521012e-06,1.4961243724779993,Calm
25.83,7.937240238205874e-06,3.987923551915054e-06,1.9903190557387453,Calm
26.37,6.562079627898645e-06,6.018750440055977e-06,1.0902727556581686,Calm
26.92,8.240907510161944e-06,7.116146818968431e-06,1.1580575443153323,Calm
27.46,7.960947639731038e-06,3.5319415297455336e-06,2.2539862488336837,Calm
28.01,5.413047650070456e-06,2.2367004975373976e-06,2.4201039236277766,Calm
28.55,5.47256594095498e-06,2.907638351999357e-06,1.882134322926344,Calm
29.11,5.437021014016731e-06,4.0314049986821815e-06,1.348666535809235,Calm
29.65,6.064030399963042e-06,3.0134593755629455e-06,2.0123152975407934,Calm
30.20,6.96170490362928e-06,3.6384385603877987e-06,1.9133770676856707,Calm
30.74,1.0284040101472241e-05,4.73287183228916e-06,2.172896386357062,Calm
31.29,1.2426995539777486e-05,4.942011492746446e-06,2.5145622502126916,Calm
31.83,2.09705782466456e-05,4.448633716457519e-06,4.713936813693134,Calm
32.38,1.1322536724852028e-05,4.600728062283345e-06,2.461031508833114,Calm
32.92,7.80646421473638e-06,3.2327422384982986e-06,2.4148118342904774,Calm
33.47,1.2069832122022116e-05,4.907998199381017e-06,2.4592169010054508,Calm
34.02,2.9083762385743046e-05,5.989224361852182e-06,4.856014840751236,Calm
34.56,2.2223472580218756e-05,3.7202877599766226e-06,5.973589682847115,Calm
35.11,1.6784011754823535e-05,3.561323421204494e-06,4.712858050153425,Calm
35.66,1.0661545606907561e-05,2.9870567592387444e-06,3.569247746609499,Calm
36.21,1.3378779432566915e-05,3.7215465540395585e-06,3.5949515176815128,Calm
36.75,6.698572010987282e-06,4.0832965261504515e-06,1.640481402241535,Calm
37.31,1.0900947923389906e-05,4.572116019144333e-06,2.384223820599812,Calm
37.86,1.1873010053036248e-05,4.241031320828804e-06,2.7995572668197046,Calm
38.41,5.740740237809311e-06,4.021642534974262e-06,1.4274615876187147,Calm
38.96,5.883430986407064e-06,3.332488127834352e-06,1.7654769531708627,Calm
39.52,4.989933514686521e-06,3.3845605493207113e-06,1.4743224244246453,Calm
40.07,4.614828947420257e-06,5.0824754700899864e-06,0.9079884348833955,Calm
40.63,4.287988916504062e-06,5.395662972871603e-06,0.7947102956695551,Calm
41.18,8.69729824644867e-06,4.724394778657651e-06,1.8409338452701967,Calm
41.73,2.5521298019997215e-05,3.860205178924045e-06,6.611383809166011,Calm
42.28,2.0842390604505376e-05,6.456121028893055e-06,3.2283147281826814,Calm
42.84,1.1119805012877305e-05,6.16845900435691e-06,1.8026876736998911,Calm
43.39,4.665552003898484e-06,3.532687583176782e-06,1.3206806132862077,Calm
43.93,5.2797910944512195e-06,2.485469420398476e-06,2.124263147685298,Calm
44.49,8.365103222458002e-06,3.96179416019742e-06,2.1114431704955514,Calm
45.03,8.062442718331952e-06,3.834623683981935e-06,2.102538184388352,Calm
45.59,9.589778335564032e-06,3.5170973058245375e-06,2.726617293096426,Calm
46.14,7.449226028484326e-06,3.911053374476543e-06,1.9046597719933531,Calm
46.69,3.7618046978909932e-06,3.947559296081929e-06,0.952944443830064,Calm
47.24,3.724114620203749e-06,5.620644695236967e-06,0.6625778397555763,Calm
47.80,1.229580628667351e-05,4.598406800303544e-06,2.6739274754599474,Calm
48.35,1.5040753855005909e-05,4.032578567472662e-06,3.7298104930494635,Calm
48.90,6.26512719496003e-06,4.165168456389717e-06,1.5041713823960232,Calm
49.45,2.73294183344128e-06,4.289985687949916e-06,0.6370515037189528,Calm
50.00,6.874746886499457e-06,4.734425887672024e-06,1.4520761438890863,Calm
50.55,1.856497252101362e-05,4.757898299870945e-06,3.9019271432340585,Calm
51.11,1.0266612240326902e-05,4.193121656505657e-06,2.448441300146439,Calm
51.66,3.952922969890962e-06,4.538587316357159e-06,0.8709588897066162,Calm
52.20,5.494067877774522e-06,4.323011853099678e-06,1.2708889229242284,Calm
52.76,6.142168474221095e-06,3.3909327045037907e-06,1.8113507431342268,Calm
53.31,8.548909638037749e-06,2.807787726141415e-06,3.0447136578184404,Calm
53.87,5.69260800917903e-06,4.1881055929414345e-06,1.3592322072235379,Calm
54.41,8.66978321414914e-06,3.1208968414272573e-06,2.7779781436749604,Calm
54.96,8.181142995320688e-06,3.4442586901818983e-06,2.3752986436941024,Calm
55.51,9.459929685661202e-06,4.3285958255673875e-06,2.1854499858325775,Calm
56.06,7.607602670710354e-06,2.5922543452364743e-06,2.9347439168884346,Calm
56.62,1.1064822299448822e-05,2.078632094873874e-06,5.3231268422804785,Calm
57.17,4.958996253256488e-06,2.506093203768925e-06,1.978775667959448,Calm
57.72,4.451336774397398e-06,4.965396310304248e-06,0.8964715998922246,Calm
58.27,4.186434245922538e-06,5.933468717444202e-06,0.705562706282509,Calm
58.83,3.077175298901281e-06,6.454548226904133e-06,0.47674526407206363,Calm
59.38,3.1099442304087334e-06,5.000838829779773e-06,0.621884515031589,Calm
59.93,4.812985420057721e-06,6.1472584871483784e-06,0.7829482736279718,Calm
60.48,3.6304211580398807e-06,5.6796149613816385e-06,0.6392019851213179,Calm
61.03,2.348678659844329e-06,4.397559120740319e-06,0.5340868866929377,Calm
61.58,2.846569607141213e-06,3.1984225843085143e-06,0.8899917168877263,Calm
62.13,6.964426852494581e-06,2.6569569452104904e-06,2.621204255887121,Calm
62.68,1.0228830650887135e-05,3.918434205768404e-06,2.6104382806349213,Calm
63.24,6.087159584864325e-06,5.044908566846386e-06,1.2065946298546018,Calm
63.79,8.664886784100943e-06,3.7498724487189263e-06,2.3107150716716083,Calm
64.34,1.2225116946542767e-05,3.244089821339389e-06,3.76842739252373,Calm
64.89,1.1236421320682981e-05,3.4513070669155815e-06,3.255700261618542,Calm
65.45,1.2999932211177989e-05,5.072669711311599e-06,2.56273973095258,Calm
66.00,8.889487655662725e-06,4.510400266562626e-06,1.9708866464832397,Calm
66.55,1.2575423167210632e-05,3.904888903858829e-06,3.2204304595666065,Calm
67.10,8.529163175414211e-06,4.196424154609249e-06,2.0324835767723783,Calm
67.65,5.313190762077604e-06,5.293566552421528e-06,1.0037071810586946,Calm
68.20,4.521630922568813e-06,6.125268108948905e-06,0.7381931438989247,Calm
68.75,6.939180947769783e-06,4.190495709221803e-06,1.6559331948483071,Calm
69.30,1.3166546182684304e-05,3.3525262869352963e-06,3.927350617352048,Calm
69.85,1.4813203204466715e-05,5.661200309408705e-06,2.616618807825563,Calm
70.40,5.683946382779161e-06,6.130099001437633e-06,0.9272193453068474,Calm
70.96,9.798671709769287e-06,4.40945420533516e-06,2.2221960481897094,Calm
71.51,1.3621253736930085e-05,3.735764973911882e-06,3.6461752364112665,Calm
72.05,1.0341330802884625e-05,4.376236342669518e-06,2.3630649702471005,Calm
72.61,8.7917749253495e-06,4.841158834270321e-06,1.8160476089139992,Calm
73.16,1.1615741433044625e-05,5.760234708216846e-06,2.016539606706482,Calm
73.71,1.585250059260907e-05,7.59469538504215e-06,2.087312234251129,Calm
74.26,2.1072796295355284e-05,7.496097608231841e-06,2.8111688770186487,Calm
74.81,1.2831208570786308e-05,7.2681184213808605e-06,1.7654099488858526,Calm
75.36,9.801880455116827e-06,1.2169669876911399e-05,0.8054351970313672,Calm
75.90,3.88576473585138e-05,2.648994940673415e-05,1.4668826565835413,Calm
76.45,1.6229144800443808e-05,9.237080279061063e-06,1.7569561279263322,Calm
77.01,3.521052495279921e-06,6.774476167808423e-06,0.5197527318808177,Calm
77.55,3.6531099013244326e-05,4.60533413580911e-05,0.7932344958250502,Calm
78.11,4.376726774209675e-05,5.956089184435121e-05,0.7348323100411678,Calm
